#********mc_data: L-24.0, k_b-3000000000.0, dt-1e-12, N-300.0********


#init L		 init nma	 init fma	 state		 unbinding prob 		 cumulative unbinding prob
24.000000	4.456212	3.999351	LEADING		0.107310	0.253674
24.000000	4.244162	4.122171	TRAILING	0.111096	0.197816
24.000000	4.323708	3.585175	TRAILING	0.043428	0.074152
24.000000	4.182710	3.940044	TRAILING	0.122065	0.215967
24.000000	4.182710	3.940044	LEADING		0.093902	0.215967
24.000000	4.723280	3.684785	LEADING		0.017068	0.042616
24.000000	4.222916	4.003483	TRAILING	0.131345	0.232512
24.000000	4.388503	4.029048	TRAILING	0.150168	0.262293
24.000000	4.575056	4.190721	TRAILING	0.084403	0.146333
24.000000	4.508259	4.193757	TRAILING	0.094662	0.165152
24.000000	4.341445	3.740779	TRAILING	0.097099	0.167245
24.000000	4.550716	4.369308	TRAILING	0.035992	0.063158
24.000000	4.293514	4.109510	LEADING		0.095864	0.220225
24.000000	4.371279	3.502490	TRAILING	0.023296	0.039411
24.000000	4.801567	4.033848	LEADING		0.031359	0.076911
24.000000	4.642894	4.142980	TRAILING	0.080235	0.137930
24.000000	4.076475	3.637554	LEADING		0.030087	0.070243
24.000000	3.828208	4.110010	TRAILING	0.015641	0.028970
24.000000	3.895618	4.148926	TRAILING	0.022188	0.040946
24.000000	4.533492	3.871386	TRAILING	0.113165	0.193424
24.000000	4.533492	3.871386	LEADING		0.080259	0.193424
24.000000	4.349270	3.994580	LEADING		0.114599	0.267587
24.000000	4.332711	4.305382	TRAILING	0.057840	0.103328
24.000000	4.401878	4.011134	TRAILING	0.151612	0.264211
24.000000	4.494072	3.866859	TRAILING	0.122017	0.209165
24.000000	4.378560	3.820118	LEADING		0.090613	0.215465
24.000000	4.317827	3.798866	TRAILING	0.118069	0.204528
24.000000	4.317317	4.132650	TRAILING	0.120169	0.212638
24.000000	3.981136	3.819004	TRAILING	0.050864	0.090887
24.000000	4.550524	3.554879	TRAILING	0.023321	0.039063
24.000000	4.034871	3.683370	LEADING		0.032533	0.075268
24.000000	4.191018	3.722319	LEADING		0.058648	0.137657
24.000000	4.079841	4.046573	TRAILING	0.080494	0.144837
24.000000	4.847358	3.796361	TRAILING	0.020734	0.034516
24.000000	4.378673	4.312664	LEADING		0.044709	0.102097
24.000000	4.255843	4.172013	TRAILING	0.096896	0.172904
24.000000	3.932905	3.528492	TRAILING	0.011742	0.020632
24.000000	4.712122	3.719188	TRAILING	0.032783	0.054827
24.000000	4.489919	4.238212	TRAILING	0.081151	0.142182
24.000000	4.380589	4.033298	TRAILING	0.149680	0.261693
24.000000	4.268021	3.803335	TRAILING	0.115608	0.201177
24.000000	4.046622	4.021368	TRAILING	0.072723	0.131032
24.000000	4.046622	4.021368	LEADING		0.058310	0.131032
24.000000	4.199570	4.182569	LEADING		0.065183	0.147126
24.000000	4.204941	4.057263	TRAILING	0.118078	0.210123
24.000000	5.168276	3.901932	TRAILING	0.001673	0.002758
24.000000	4.687854	3.682282	TRAILING	0.030341	0.050721
24.000000	4.451174	3.932352	TRAILING	0.143956	0.248619
24.000000	4.075053	3.868921	LEADING		0.064471	0.147341
24.000000	4.149423	4.067748	LEADING		0.078505	0.177863
24.000000	4.223931	4.112970	TRAILING	0.109195	0.194687
24.000000	4.604812	3.967041	TRAILING	0.105983	0.181080
24.000000	4.292056	3.530941	TRAILING	0.030008	0.051181
24.000000	4.893400	4.394149	TRAILING	0.007949	0.013523
24.000000	4.598864	3.927655	TRAILING	0.103923	0.177264
24.000000	4.190754	4.156847	LEADING		0.069827	0.157782
24.000000	4.217140	3.586769	TRAILING	0.041513	0.071508
24.000000	4.152775	4.023644	TRAILING	0.107845	0.192417
24.000000	4.089115	3.799335	TRAILING	0.076800	0.135719
24.000000	4.054323	3.853182	LEADING		0.058323	0.133158
24.000000	4.338449	4.159646	LEADING		0.086705	0.199457
24.000000	3.937862	4.081870	LEADING		0.030029	0.066269
24.000000	4.885399	4.244978	TRAILING	0.018381	0.031113
24.000000	4.128575	4.291164	LEADING		0.031478	0.069774
24.000000	5.127519	4.596531	TRAILING	0.000242	0.000405
24.000000	5.014400	4.573574	TRAILING	0.000769	0.001301
24.000000	4.152252	4.439800	TRAILING	0.014489	0.026620
24.000000	4.313502	3.997763	TRAILING	0.149787	0.262884
24.000000	4.313502	3.997763	LEADING		0.113096	0.262884
24.000000	3.792528	3.398524	TRAILING	0.001960	0.003451
24.000000	4.838995	3.695807	LEADING		0.008618	0.021731
24.000000	4.049897	3.664479	TRAILING	0.041659	0.073178
24.000000	3.868859	3.957433	TRAILING	0.028521	0.052015
24.000000	4.819524	3.962558	TRAILING	0.039373	0.066178
24.000000	4.273522	3.777424	TRAILING	0.107685	0.186984
24.000000	4.508722	4.037227	LEADING		0.097113	0.230307
24.000000	3.872373	3.625774	LEADING		0.011355	0.025929
24.000000	4.671787	4.687120	TRAILING	0.001289	0.002273
24.000000	4.302910	3.812718	LEADING		0.089695	0.211559
24.000000	4.415605	4.231387	LEADING		0.066978	0.154668
24.000000	4.716923	3.974634	TRAILING	0.068877	0.116700
24.000000	4.021625	4.291791	LEADING		0.019750	0.043206
24.000000	4.095908	3.734890	LEADING		0.049216	0.114126
24.000000	4.374168	3.736088	TRAILING	0.094244	0.161842
24.000000	4.524391	3.956196	LEADING		0.093475	0.223510
24.000000	4.687116	4.243547	TRAILING	0.049350	0.084938
24.000000	4.394947	3.780605	TRAILING	0.109723	0.188631
24.000000	4.539324	3.960858	TRAILING	0.126199	0.216705
24.000000	4.740357	3.957768	TRAILING	0.060567	0.102356
24.000000	4.675155	3.889538	TRAILING	0.073233	0.123927
24.000000	4.675155	3.889538	LEADING		0.050694	0.123927
24.000000	3.705102	4.184028	LEADING		0.003521	0.007497
24.000000	4.413845	4.511575	TRAILING	0.012721	0.022836
24.000000	4.225137	3.654282	LEADING		0.044771	0.106161
24.000000	4.851988	4.044633	TRAILING	0.033732	0.056774
24.000000	4.303936	4.111868	TRAILING	0.125197	0.221521
24.000000	4.152221	3.705634	TRAILING	0.068009	0.118753
24.000000	4.187232	4.168866	LEADING		0.066416	0.149856
24.000000	4.115533	3.856846	LEADING		0.072287	0.166163
24.000000	4.547333	3.897219	LEADING		0.081593	0.196537
24.000000	4.546629	4.058442	TRAILING	0.121189	0.209116
24.000000	4.417583	4.033432	TRAILING	0.148113	0.258102
24.000000	4.360442	3.897316	TRAILING	0.146290	0.254075
24.000000	4.745902	3.756086	LEADING		0.021994	0.054723
24.000000	5.015877	4.101478	LEADING		0.006679	0.016668
24.000000	4.143101	3.700644	TRAILING	0.065151	0.113812
24.000000	4.520833	4.006567	LEADING		0.095859	0.228206
24.000000	4.990372	4.075545	TRAILING	0.012472	0.020825
24.000000	4.382509	3.765474	TRAILING	0.104972	0.180477
24.000000	3.899796	4.319302	TRAILING	0.009269	0.017326
24.000000	4.353262	4.009782	LEADING		0.114026	0.266038
24.000000	4.374792	4.076891	TRAILING	0.140988	0.247287
24.000000	4.539330	4.653313	TRAILING	0.002628	0.004694
24.000000	4.487603	4.401950	TRAILING	0.031076	0.054981
24.000000	4.102847	3.800892	TRAILING	0.080722	0.142491
24.000000	4.074833	4.078210	LEADING		0.059436	0.133343
24.000000	4.231721	3.993490	TRAILING	0.134531	0.237803
24.000000	4.418668	4.007057	LEADING		0.111477	0.262188
24.000000	4.210007	4.115959	LEADING		0.082409	0.187300
24.000000	4.873152	3.826904	TRAILING	0.019559	0.032558
24.000000	4.493880	4.072582	TRAILING	0.131062	0.227375
24.000000	4.579947	3.857831	TRAILING	0.096552	0.164297
24.000000	4.529532	3.618038	LEADING		0.026441	0.065091
24.000000	4.830553	4.262150	TRAILING	0.023626	0.040197
24.000000	4.002332	3.999020	TRAILING	0.060604	0.109479
24.000000	4.548966	3.892821	TRAILING	0.113580	0.194131
24.000000	4.548966	3.892821	LEADING		0.080551	0.194131
24.000000	4.586519	3.912758	TRAILING	0.105700	0.180324
24.000000	4.170624	4.352459	LEADING		0.024742	0.054840
24.000000	4.226852	4.097397	TRAILING	0.114276	0.203481
24.000000	4.361277	4.295487	LEADING		0.048947	0.111682
24.000000	4.068507	4.121345	TRAILING	0.064043	0.115969
24.000000	4.322377	4.159324	LEADING		0.085897	0.197214
24.000000	4.331488	4.151697	TRAILING	0.115017	0.203495
