#********mc_data: L-16.0, k_b-3000000000.0, dt-1e-12, N-300.0********


#init L		 init nma	 init fma	 state		 unbinding prob 		 cumulative unbinding prob
16.000000	4.189419	4.213742	LEADING		0.180485	0.389101
16.000000	3.772376	3.699160	LEADING		0.180485	0.041507
16.000000	4.303570	4.126557	LEADING		0.019219	0.592371
16.000000	4.418446	3.988480	LEADING		0.269279	0.617469
16.000000	4.682437	3.310657	LEADING		0.274253	0.001443
16.000000	4.024786	4.326905	TRAILING	0.065653	0.125701
16.000000	4.997245	4.098251	LEADING		0.000595	0.036577
16.000000	4.183389	3.857880	TRAILING	0.065653	0.443694
16.000000	4.577663	4.117191	TRAILING	0.244059	0.459806
16.000000	4.357445	4.030669	TRAILING	0.256731	0.653581
16.000000	4.485779	3.628795	LEADING		0.015736	0.118185
16.000000	4.132845	3.964493	TRAILING	0.360502	0.471490
16.000000	4.374657	3.853387	LEADING		0.050682	0.483348
16.000000	4.491724	3.757005	LEADING		0.213258	0.260692
16.000000	4.241640	3.872462	LEADING		0.112922	0.501297
16.000000	4.190025	3.792223	LEADING		0.224486	0.364083
16.000000	4.335713	3.770345	LEADING		0.162765	0.359871
16.000000	4.291771	3.775866	TRAILING	0.256216	0.371819
16.000000	4.291771	3.775866	LEADING		0.158271	0.371819
16.000000	4.312235	4.346146	TRAILING	0.207517	0.270698
16.000000	4.137349	3.948314	TRAILING	0.145427	0.470858
16.000000	4.498788	4.272299	LEADING		0.164302	0.377404
16.000000	4.009935	4.129859	LEADING		0.169967	0.258554
16.000000	3.794128	3.809081	LEADING		0.121435	0.070603
16.000000	4.395209	4.375877	LEADING		0.032951	0.242168
16.000000	4.743163	4.006939	TRAILING	0.256281	0.217403
16.000000	4.743163	4.006939	LEADING		0.111275	0.217403
16.000000	4.798711	4.110713	LEADING		0.094048	0.174278
16.000000	4.304699	4.052053	TRAILING	0.123355	0.641337
16.000000	4.088384	4.034108	LEADING		0.075560	0.411709
16.000000	4.210753	4.007189	TRAILING	0.351648	0.573783
16.000000	4.288678	4.258789	LEADING		0.190051	0.398608
16.000000	4.141333	4.044414	LEADING		0.183556	0.483736
16.000000	4.073767	4.025983	LEADING		0.222222	0.392340
16.000000	4.406092	3.902456	TRAILING	0.313005	0.539048
