#Image center (0x, 0y) = (157 px, 128 px)
#Left center (-56, 0) = (3, 128
#Bottom center (0, -56) = (157, 254)

#Dots
83, 195
88, 188
103, 186
114, 172
109, 164
144, 185
145, 175
133, 168
126, 160
109, 153
112, 152
115, 152
99, 150
102, 148
103, 142
85, 145
81, 150
77, 143
72, 154
66, 151
63, 142
117, 147
118, 142
201, 218
202, 207
223, 210
226, 210
178, 183
182, 179
183, 174
173, 171
181, 168
192, 164
165, 166
160, 169
153, 166
176, 162
173, 161
171, 153
220, 164
206, 173
208, 183
202, 180
198, 177
193, 177
205, 167
206, 166
189, 135
197, 137
201, 136
199, 141
177, 140
172, 138
169, 135
164, 147
160, 142
129, 141
124, 138
140, 151
144, 147
144, 132
140, 132
139, 134
129, 149
124, 150
126, 147
124, 146
124, 143
147, 153
151, 153
150, 149
152, 145
150, 145
147, 142
156, 151
158, 148
157, 155
88, 132
73, 130
74, 120
79, 113
86, 123
81, 124
75, 125
90, 129
92, 129
96, 127
96, 124
112, 129
121, 123
141, 121
106, 123
102, 124
103, 127
106, 117
108, 110
72, 110
72, 103
52, 120
47, 117
50, 109
55, 109
43, 109
34, 108
41, 114
37, 114
61, 114
65, 111
67, 107
66, 102
49, 97
44, 86
38, 79
39, 85
28, 82
38, 64
45, 71
49, 58
50, 62
55, 63
66, 59
70, 59
73, 55
73, 52
82, 55
81, 59
76, 63
67, 91
72, 87
76, 90
82, 93
65, 96
59, 96
54, 79
52, 88
54, 86
61, 81
60, 84
60, 87
61, 86
163, 121
151, 125
169, 129
162, 129
161, 129
23, 103
11, 109
11, 95
6, 98
41, 31
46, 32
49, 39
55, 39
64, 39
68, 39
70, 43
79, 46
74, 20
73, 8
86, 18
95, 12
97, 18
100, 20
92, 27
77, 29
74, 27
145, 20
125, 13
122, 7
132, 5
126, 25
123, 28
122, 25
117, 31
100, 35
97, 35
117, 61
127, 55
131, 52
77, 43
75, 41
136, 53
140, 53
141, 61
149, 47
149, 40
146, 39
96, 46
90, 49
88, 56
91, 61
97, 82
96, 75
76, 79
67, 79
89, 71
86, 70
60, 71
64, 70
68, 71
74, 69
71, 69
72, 71
59, 15
58, 15
80, 84
188, 58
195, 63
169, 51
164, 53
162, 58
161, 65
159, 61
153, 52
98, 97
92, 92
88, 89
103, 73
102, 70
152, 86
151, 93
146, 88
141, 91
137, 96
136, 100
147, 80
106, 79
119, 76
115, 79
127, 78
132, 78
132, 82
135, 84
138, 85
116, 79
127, 86
126, 90
123, 88
122, 92
98, 59
102, 58
103, 54
106, 53
107, 56
107, 58
94, 56
94, 53
108, 49
117, 52
118, 50
104, 64
116, 70
113, 69
112, 66
110, 66
108, 65
92, 81
92, 84
110, 80
111, 78
145, 91
146, 94
142, 79
140, 77
143, 75
141, 69
143, 70
145, 67
149, 63
150, 62
111, 46
113, 44
112, 43
117, 42
120, 43
119, 44
92, 40
89, 42
89, 40
90, 38
85, 38
84, 40
119, 87
116, 86
115, 84
114, 85
116, 91
114, 91
125, 99
119, 98
116, 91
114, 91
112, 95
105, 92
105, 91
101, 90
95, 89
120, 102
124, 104
123, 112
127, 111
129, 108
132, 108
134, 109
136, 109
130, 115
130, 117
139, 113
143, 111
146, 115
155, 117
118, 113
117, 117
114, 115
114, 112
114, 109
115, 106
113, 104
112, 101
111, 101
109, 100
106, 104
104, 101
101, 105
98, 103
93, 100
87, 97
85, 99
87, 102
83, 106
80, 104
79, 104
99, 115
98, 112
96, 111
94, 113
94, 104
94, 107
92, 106
89, 106
91, 108
91, 111
89, 111
88, 110
88, 109
61, 104
61, 102
60, 102
60, 101
140, 104
149, 107
149, 112
152, 114
152, 112
154, 109
298, 161
274, 152
265, 161
265, 151
262, 179
259, 175
259, 173
247, 173
238, 179
234, 178
235, 174
238, 167
231, 185
228, 181
221, 182
221, 186
244, 161
245, 161
258, 149
251, 145
252, 149
248, 151
246, 151
243, 152
243, 154
241, 146
240, 145
237, 149
232, 156
228, 156
231, 151
227, 148
225, 151
227, 148
218, 152
220, 149
222, 149
214, 145
212, 148
206, 149
206, 152
207, 153
212, 158
210, 160
220, 142
217, 138
226, 138
221, 136
227, 133
235, 133
241, 133
219, 133
219, 131
197, 160
200, 160
199, 157
200, 155
204, 158
205, 160
201, 160
199, 157
200, 156
182, 153
182, 147
180, 148
176, 148
176, 150
186, 153
190, 154
190, 149
193, 144
195, 146
194, 153
193, 150
195, 150
197, 152
