# command line: ./generate_stepping_data --k_b 100000000.0 --k_ub 100.0 --cb 0.1 --cm 0.4 --ct 0.2 --ls 10.49 --lt 23.8 --eqb 120 --eqmpre 200 --eqmpost 224 --eqt 0 --dt 1e-10 --label paramSearch-exprun2 --seed 1.0 --runtime 1.0 --framerate 1e-10 --nomovie --exp-unbinding-constant -0.01



#********paramSearch-exprun2__k_b-1e+08,k_ub-100,c--0.01,cb-0.1,cm-0.4,ct-0.2,ls-10.49,lt-23.8,seed-1,dt-1e-10********
#time_unbind, time_bind, nbx_bind, fbx_bind, nmx_unbind, fmx_unbind, nmx_bind, fmx_bind
#[time: 0]
 0.0087229404  0.0087284101                  0  0.753387635054792   2.82479876179116  0.970237577722473   1.50875017841191   1.64729323535114
#[time: 0.01]
 0.0138971745  0.0139380001  -13.9897381833274  0.753387635054793   1.31637168542943    1.4219355392133  -8.95983419853175   3.87000522028621
#[time: 0.02]
 0.0287500475  0.0287518449  -4.56131844497831  0.753387635054793   -9.6087458321138   3.57685263777371  -3.56708533000174  -4.32874242675955
#[time: 0.03]
 0.0340262593  0.0340414932  -4.89840005851609  0.753387635054793    1.1891415849685   3.37516346318251  -1.63628843800424   1.68771364522765
#[time: 0.04]
#[time: 0.05]
 0.0519121022  0.0519174179  -4.89840005851609  -3.52407682872688  -1.47940211319552 -0.435509774979232  -5.75974975229718  -6.02782058424688
 0.0553202992  0.0553759995  -4.89840005851609  -5.73830384462469  -2.25006330812857   -1.7223879208639  -15.1502149061853   -15.060305107196
#[time: 0.06]
 0.0674952767  0.0675359866  -4.11187161547998  -5.73830384462469  -1.80768197702593  -2.25524191182875  -11.6817120840864  -9.92446445983502
#[time: 0.07]
#[time: 0.08]
 0.0852678658  0.0852852068  -4.11187161547998  -2.57648414257201   -3.9927672184365  -4.13563607654666  -9.02387403101763   -9.6168617657592
 0.0876589995  0.0877102317   2.57706711366755  -2.57648414257201  -1.47129067660788 -0.932618295685509  -7.37235802109278  -2.61926709932273
#[time: 0.09]
#[time: 0.1]
  0.100882241  0.1008984171   2.57706711366755   -9.0425407464072   3.32265503651009   2.17956707312106   1.12256322290699  -4.96044124919326
#[time: 0.11]
 0.1142203431   0.114224267  -5.25786656591185   -9.0425407464072    3.5070360740073  -2.24427440432102    -14.81923888025   -13.413991008783
#[time: 0.12]
 0.1286828481  0.1287300779  -31.2523554607824   -9.0425407464072  -5.13560101723784  -6.26122384227287  -25.3937588942683  -6.14276517896925
#[time: 0.13]
 0.1331719708  0.1331796815  -31.2523554607824  -35.8692113821631  -23.6045544578242  -7.39284803198445  -27.8352430870144   -30.984312128544
#[time: 0.14]
 0.1468624556  0.1469488286  -31.2523554607824  -29.5288528660886  -28.1640017471835  -29.7903180410124  -31.3193083441027  -31.5841703757714
#[time: 0.15]
 0.1513477071    0.15134984  -26.4025422630625  -29.5288528660886  -29.8510592213121  -31.3696381451411  -20.2860046455199  -23.5098760015476
 0.1566607598  0.1567016818  -26.4025422630625  -23.5234981436528  -24.9912263325324  -26.6221737553218  -22.5147546622882  -20.9751956457936
#[time: 0.16]
 0.1628112404  0.1628208567  -26.4025422630625  -28.3521981024402  -25.4653900733747  -25.6500260280442  -31.0416812956641   -30.013447404867
#[time: 0.17]
 0.1753692453  0.1753730091  -21.6585526453853  -28.3521981024402  -25.6743959085357  -26.2079182309303  -25.8263473546556  -24.7344478008053
  0.177164674  0.1772410074  -21.6585526453853  -17.4175725128329   -19.849956923183  -22.6799336645762  -25.2530005872679   -25.569078100972
 0.1780772023  0.1780972801  -28.4673666080495  -17.4175725128329   -17.495097953895  -15.7504496578837  -23.7671486253639  -15.7787235817473
#[time: 0.18]
 0.1824262683  0.1824500207  -20.1896627746606  -17.4175725128329  -20.4520497585767  -14.9345373067924  -22.6520212786808  -23.2757684513232
#[time: 0.19]
 0.1959818983  0.1959996935  -23.7837901581017  -17.4175725128329  -15.0555296464225  -14.0569009086999  -19.8501922854279  -19.1612475758609
#[time: 0.2]
 0.2028594355  0.2028641468  -13.1891023893052  -17.4175725128329  -23.1365271492088  -16.9269867884964  -15.0848365864303  -15.1577062727693
#[time: 0.21]
#[time: 0.22]
#[time: 0.23]
 0.2337898033  0.2338425266  -15.0971249601218  -17.4175725128329    -12.74586010064  -13.1379512991718  -18.5752154203039  -18.2616867901917
 0.2370658038  0.2370875004  -15.0971249601218   -11.406259916329    -14.51866061043  -15.1886932768427  -13.0562867105239  -12.4571086922955
#[time: 0.24]
 0.2497268576   0.249759859  -15.0971249601218  -14.1147202399127  -12.1429522804432  -10.9751517730997  -17.7727032381198    -17.80896664923
#[time: 0.25]
 0.2554377353  0.2554551765  -12.3167700135361  -14.1147202399127  -12.1161523579913  -11.7469240869647   -21.423911353902   -20.611852946869
 0.2584791754  0.2584815614  -12.3167700135361  -10.6854247336519  -11.8155439654488  -12.1345487075728  -20.6888098235664  -20.5785177577004
#[time: 0.26]
  0.266610495  0.2666453895  -12.3167700135361  -11.6552356158829  -8.68641580146971  -8.53999365725073  -7.58065605604829  -10.4181264945377
 0.2693934883   0.269395505  -3.19852289971033  -11.6552356158829  -6.93749683147831  -6.64680950165474  -12.0804485684081  -6.99701524637301
#[time: 0.27]
 0.2747268245   0.274745613  -9.56861857964477  -11.6552356158829  -3.67010329638014  -7.45721820055099   -18.271633115097  -18.3587106526859
 0.2787952767  0.2788283143  -8.45729262548009  -11.6552356158829  -4.35363558975912  -5.57106756290414  -17.1890675428198  -14.8024714441773
#[time: 0.28]
#[time: 0.29]
#[time: 0.3]
#[time: 0.31]
 0.3105081608  0.3105884083  -8.45729262548009  -7.53750102575259  -7.46133091743294   -8.4001426059122  -13.0930411790895  -13.4382238056662
#[time: 0.32]
 0.3259512184  0.3259709361  -8.45729262548009  -9.12358254193112   -7.4795038318824  -7.00277101169784  -15.9961550164735  -15.9512111497521
#[time: 0.33]
#[time: 0.34]
#[time: 0.35]
#[time: 0.36]
#[time: 0.37]
 0.3744937643   0.374499132  -4.97641597503713  -9.12358254193112   -6.2819190669447  -6.50230375545099 -0.246591120045525  -6.89523606976126
#[time: 0.38]
#[time: 0.39]
#[time: 0.4]
 0.4040630824  0.4041214365  -4.97641597503713  -2.52789415506045  -2.41486828842617  -3.34038531422609  -9.53127551739704   -10.215289628623
 0.4055151264  0.4055250053  -4.97641597503713   -6.8220805340904  -1.32247631448401 -0.574865417963995  -5.11452177548346  -5.32065272147725
#[time: 0.41]
 0.4104285111  0.4104982382  -3.41000935133133   -6.8220805340904  -1.15206689071573  -1.88686590001274  -6.07243984071556  -5.81610070704684
 0.4115379568  0.4115458618  -3.41000935133133  -17.0200295217328  -6.90977237040731  -6.32345511762727  -4.78531719519609  -9.86474921099674
#[time: 0.42]
#[time: 0.43]
#[time: 0.44]
 0.4484910548  0.4484943249  -3.41000935133133  -4.77070741644969  -2.77291838466971  -8.86268790793001  0.653248466632016  -3.48787240917766
#[time: 0.45]
 0.4512085845  0.4512490588  -7.05229062157037  -4.77070741644969  -1.72758782006938  -3.83376976040548  -5.96329588373848   3.17558087093475
#[time: 0.46]
 0.4656101891  0.4656665457  -1.84298137773651  -4.77070741644969  -4.60157860463706    -3.555606212657  -10.2880300767617  -10.6715064950772
 0.4663517831  0.4663574755   -1.6890246899003  -4.77070741644969   -2.6251763986204  -2.83097453608914  -6.78070361449728  -4.03253659977777
#[time: 0.47]
#[time: 0.48]
 0.4846970994  0.4847121129   -1.6890246899003 -0.446475240841225  -1.82428304412388  -2.14219454388381   -1.0922173531059  -3.73121261442955
#[time: 0.49]
 0.4975781927  0.4975785586   1.36576256344973 -0.446475240841225  -2.27619258494396  -1.84757549099531   6.52800198166853    5.2830271713818
 0.4992281211  0.4992282795   2.75385902327596 -0.446475240841225   0.83892071490613  0.775174159652829  -4.13154293378807  -2.19661967790312
#[time: 0.5]
#[time: 0.51]
#[time: 0.52]
#[time: 0.53]
 0.5391984086  0.5392281809   2.75385902327596   14.9032276757801   4.78997769547157   3.26673750881366   3.16428278211051   12.7978539885332
#[time: 0.54]
  0.546740624  0.5467540333   2.75385902327596   10.9873274783856   10.7555629187637   20.2078471999239   7.69736968258201   13.3410786103785
#[time: 0.55]
 0.5536066384  0.5536709733   2.75385902327596  -5.17354636915358   7.14143922434536   10.1065423278599   7.41324002436209  -5.56501302654486
#[time: 0.56]
