# command line: ./generate_stepping_data --k_ub 200.0 --nomovie --eqb 120 --eqt 0 --dt 1e-10 --cb 0.1 --ls 10.49 --framerate 1e-10 --k_b 10000000.0 --label paramSearch-kubbfit --eqmpre 200 --ct 0.2 --eqmpost 224 --seed 1.0 --runtime 3.0 --lt 23.8 --cm 0.4 --exp-unbinding-constant -0.2



#********paramSearch-kubbfit__k_b-1e+07,k_ub-200,c--0.2,cb-0.1,cm-0.4,ct-0.2,ls-10.49,lt-23.8,seed-1,dt-1e-10********
#time_unbind, time_bind, nbx_bind, fbx_bind, nmx_unbind, fmx_unbind, nmx_bind, fmx_bind
#[time: 0]
 0.0010165038  0.0010191972                  0  -2.13119369011489   2.21909449541351   2.50143959830765   2.99878289093227   1.14783457140882
 0.0040137707  0.0040746342  -1.38204288330439  -2.13119369011489 0.0763255397537524 -0.204764747754596  -5.92248561654738  -5.28268272410882
 0.0087067886  0.0090471883  -1.38204288330439   -3.6368069350451    1.8461041812782   1.46103436427588  -5.26444079726136   -4.6539825265255
#[time: 0.01]
 0.0101155492  0.0101933935  -1.38204288330439   13.8693210828898   2.27660554362672  0.998503037262283   5.40760474809209   8.83515853536516
 0.0102075428  0.0102886728  -1.38204288330439 -0.0249331948900764   4.93418863441491   8.54376440491481   8.84519312849428   10.3043106165305
 0.0127531999  0.0128283712  -1.54243328434431 -0.0249331948900764 -0.097305820643744 0.0798008032663603  -1.61205836169106  -7.34650697253704
 0.0138056296  0.0143590337  -1.54243328434431 -0.481393773501744  0.112386149693835  0.287467072585458   -3.4201942842344  -4.43862105573013
 0.0168054963  0.0170727863   16.0409466527994 -0.481393773501743  0.624578673057958  0.839556962218443   10.7016607797249   5.45220633985517
 0.0179731559  0.0182970507  -8.14023227482962 -0.481393773501743   21.4868204582783   6.59084320232258  -9.79103847411474   -10.450895682124
#[time: 0.02]
 0.0244549814  0.0246730321  -8.14023227482962  -7.53198077396954  -3.01059944318268  0.238830966196443  -5.43100493554214  -5.26424525932639
 0.0253583764   0.025445006  -8.14023227482962  -4.75799305429393    -5.799845339645  -5.56341443403609  -13.6419375424995  -13.3362716920781
 0.0284714746  0.0285456285  -8.14023227482962  -9.22475661259088  -4.39850321313011 -0.542212447457931  -10.9536601770061  -13.1249173882158
#[time: 0.03]
 0.0309134834  0.0313721832  -8.14023227482962  -9.51393703064127   -7.2446208996849  -7.39492926660798  -8.81438342939205  -8.83357519344515
 0.0336776828    0.03388736  -8.14023227482962  -30.1343455510736  -3.04218949125093  -3.75743661235164  -10.4919629841395  -21.2118666897438
 0.0345844227  0.0353007176  -32.2439255177142  -30.1343455510736  -10.5774630916611  -23.0576610806486  -29.0100763049126  -28.5957432942219
#[time: 0.04]
 0.0422754016  0.0434694634  -32.2439255177142  -41.3247218419679  -33.0886543639719  -33.2761139165909  -32.3481208817356  -39.6196186574936
#[time: 0.05]
 0.0499589766  0.0501900316  -32.2439255177142  -33.1978350657504  -32.5496843420308  -34.8793516949201  -37.4824992838345   -37.319768496104
 0.0512557174  0.0514597453  -32.2439255177142  -28.8678884901718  -29.4183872887647   -29.822511943791    -31.31435247489  -32.7499502736582
 0.0546381658  0.0547680447  -32.2439255177142  -32.7928368817767  -28.9761987515595  -27.6695441962128  -42.0678671932596  -41.3870679332172
#[time: 0.06]
 0.0618591623  0.0620369315  -35.8543370771392  -32.7928368817767  -30.4970527374972  -30.7799383004165  -34.0887139687814  -33.9812754210245
 0.0662885182  0.0666862619  -35.8543370771392  -32.1152201485607   -31.228853348845   -29.654812591011  -33.3093248103588  -32.8763187637576
 0.0667272566  0.0667439682  -35.8543370771392  -37.1753113147741  -33.1282440439155  -31.2440811356556  -28.6953345613024  -30.8111834605485
#[time: 0.07]
#[time: 0.08]
 0.0845029156  0.0846279614  -35.8543370771392  -32.7718767331525  -35.5655472530013  -35.6741590386296  -36.5518839636652  -34.3641384007304
  0.085411832  0.0858879168  -35.8543370771392  -41.3194624368532  -33.0272911667695  -31.7946296341091  -32.7138542500185  -40.9057621449144
 0.0868167264  0.0878154067  -35.8543370771392  -39.5614492369942  -35.5647130473966   -36.888741915781   -33.675295186419  -34.6546757304249
 0.0892191313  0.0892677593  -46.9696921634575  -39.5614492369942  -35.2829623023851  -36.3275261141013  -42.7584139203966  -35.4545604129101
#[time: 0.09]
 0.0917223954  0.0918225507  -46.9696921634575  -42.8511826872976  -42.9405877821851   -39.311294929026  -49.2289241678144  -52.4873467158505
 0.0919714726  0.0923092077  -46.9696921634575  -47.6595147295832  -43.9968223567188  -43.1461887311671  -57.3117855523274   -57.478710462944
 0.0955308379  0.0957183546  -41.7212649609424  -47.6595147295832  -45.1622178305765  -45.2787519914759  -48.2933496020729  -47.0254968058288
  0.098526665  0.0985934015  -41.7212649609424  -8.87866968394026  -40.1868776724491  -41.8721621375151  -31.3498383861845  -13.9425988776985
#[time: 0.1]
 0.0998130435  0.1000614922  -13.5001312402154  -8.87866968394026  -32.1112806545924  -10.2305101660356  -8.06648692622827  -1.94161307636177
 0.1055765935  0.1055823791  -10.5179840902121  -8.87866968394026  -9.99605317824962  -7.39333991552566  -17.3719633965669  -14.5513174853433
#[time: 0.11]
 0.1131200933  0.1132612638  -13.0288343273713  -8.87866968394026  -5.68137643647863  -4.79071932075027  -19.8626020403913   -19.114268452496
#[time: 0.12]
 0.1220803057   0.122086295  -10.5229163466666  -8.87866968394026  -8.32183147597862  -7.00141663052444  -13.0322980025152  -13.8584318380769
 0.1275636059  0.1280594585  -13.3170705396658  -8.87866968394026  -8.71518291449259  -8.32824730654215   -8.3993760910552  -13.5913869780046
#[time: 0.13]
 0.1319955438   0.132071656  -13.3170705396658  -11.4142847604543   -8.4080269035398  -5.50976326615283   -20.612197170449  -20.3680571882055
 0.1356973117  0.1357960201  -8.08112621302768  -11.4142847604543  -8.59496244697153  -7.81730486596703  -17.8926931047213  -16.5047733812787
#[time: 0.14]
 0.1456638994  0.1456672071  -8.08112621302768  0.454568763185454   -4.9469137469831  -6.01041078671859  -5.73504297750867    5.2121388953697
 0.1464289251  0.1470981993  -9.25329411814328  0.454568763185454  -1.71172713899258    3.0648027674665  -4.06389455675345   1.29565031016327
 0.1493733738  0.1497568739  -9.25329411814328   4.38016585546968  -2.25945919717381   1.88616410789174  -4.50722249247524   6.31891514239001
#[time: 0.15]
 0.1499819686    0.15052288   11.1968275376373   4.38016585546968  -1.12491354801994     6.023436888297   2.28688743623955   1.75831141553156
 0.1552617181  0.1554438414   5.29902167791704   4.38016585546968   12.9366657816696    8.5626938729284  -3.73473291407842  -1.04476228215033
 0.1562419647  0.1563351803   5.18156868477742   4.38016585546968   10.2168280821635   9.81925211080856  -2.95750838698791  -2.82933204338067
#[time: 0.16]
 0.1605159401  0.1605932802   3.37314534436338   4.38016585546968   10.4465071410713    9.9569678397288  -3.83719803549894  -4.48696134370884
 0.1613712129  0.1617233389   6.93381121815904   4.38016585546968   3.29430599742006   3.22548840394254   8.80611551447303  0.588654806387734
 0.1626278645  0.1627068343   6.93381121815904    3.1097038699009   5.93211422990399   5.13402398639108  -1.25741213903615  -1.16587799458459
 0.1637098712  0.1638186697   6.93381121815904   14.2351777532139   10.2070573048369   7.66481929376349   4.92888233565941   3.94411768523399
 0.1640151659  0.1644947423   18.6526529285447   14.2351777532139   11.9539514282647   14.6349843651567   8.61878458723957   8.50035231779235
 0.1657140947  0.1666358401   12.8566131738769   14.2351777532139   19.6054353480168   18.4330187078732   6.74100466279672   6.03053043145886
#[time: 0.17]
 0.1736751262  0.1738533933   12.8566131738769   12.2105263636905   14.4284813850182   14.9660111187394   18.1600536808209   16.4643561250348
 0.1749005476  0.1751548661   12.8566131738769   14.0789758013946   14.4296579981263    14.287498052458   4.82373074967034    4.0228872459094
 0.1754135612  0.1755170266   12.8566131738769   17.7498271797577   18.0390369982342   18.7303670568746   10.2287752421325   9.31714082146986
 0.1763221335  0.1764893452   3.52386878123183   17.7498271797577   17.2490557606222   19.2585343178608   11.0624037915982   15.8852604405291
#[time: 0.18]
 0.1806516732  0.1810965959   3.52386878123183    6.9580330917528   12.1726472501824    20.100768983935   -2.7698986222746  -3.43647365508056
  0.187488132  0.1880610173   3.52386878123183   6.99096655104028   8.68165368558205   10.4409308849949    6.7535736182937   11.4239376620002
 0.1891470654  0.1896763385   3.52386878123183  -8.54745479628239   -2.8798036883019   10.5812333347474 -0.177537628155547  -13.2021956631921
#[time: 0.19]
